figure_id,strain,display_name,group,target_mic_operational_label,target_length,guidance_method,row_index,predicted_mic_umol,log2_predicted_mic,source_cache_id
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,156,12.875,3.686500549,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,157,165,7.366322041,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,158,19,4.247927666,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,159,24.5,4.614709854,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,160,3.515625,1.813781142,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,161,15.6875,3.97154355,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,162,47,5.554588795,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,163,84.5,6.400879383,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,164,129,7.011227131,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,165,30.75,4.94251442,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,166,47.5,5.56985569,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,167,11.75,3.554588795,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,168,138,7.108524323,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,169,48.75,5.607330322,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,170,60.25,5.912889481,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,171,27.375,4.774786949,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,172,284,8.149746895,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,173,14,3.807354927,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,174,82,6.357552052,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,175,131,7.033422947,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,176,107.5,6.748192787,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,177,115.5,6.851748943,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,178,27.25,4.768184185,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,179,278,8.118941307,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,180,20.25,4.339849949,baa3170_guided_scoring_cache
